epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3542.82,0.53496,0.45621,0.46415,1.0785,0.84341,0.89091,0.90587,0.72357,0.84341,0.89091,0.90905,0.79084,0.81997,0.7315,0.71569,0.90212,2.73816e-05,2.73816e-05,2.73816e-05
92,3585.02,0.57215,0.45282,0.45358,1.08904,0.84008,0.89091,0.90316,0.71438,0.84008,0.89091,0.90662,0.78876,0.82078,0.74276,0.69477,0.89985,2.37237e-05,2.37237e-05,2.37237e-05
93,3622.48,0.53422,0.44075,0.46978,1.11556,0.90332,0.84944,0.91297,0.72097,0.90332,0.84944,0.91679,0.80033,0.83198,0.73053,0.68934,0.90605,2.04411e-05,2.04411e-05,2.04411e-05
94,3662.67,0.5741,0.44687,0.44047,1.08612,0.90091,0.87273,0.91174,0.71999,0.90091,0.87273,0.91554,0.79905,0.83774,0.71975,0.69032,0.90796,1.7537e-05,1.7537e-05,1.7537e-05
95,3699.76,0.54648,0.47619,0.45558,1.0917,0.87635,0.85455,0.91495,0.72542,0.87635,0.85455,0.91841,0.80032,0.83918,0.72941,0.68563,0.9134,1.50142e-05,1.50142e-05,1.50142e-05
96,3739.19,0.52719,0.40093,0.42424,1.10454,0.89291,0.85455,0.91383,0.72824,0.89291,0.85455,0.91772,0.80668,0.83888,0.71999,0.68755,0.91455,1.28754e-05,1.28754e-05,1.28754e-05
97,3779.77,0.53793,0.45593,0.45682,1.08869,0.8878,0.85455,0.91562,0.72876,0.8878,0.85455,0.9202,0.81237,0.84384,0.72362,0.69302,0.91834,1.11226e-05,1.11226e-05,1.11226e-05
98,3818.87,0.53222,0.43962,0.4277,1.10144,0.89016,0.87273,0.91397,0.72899,0.89016,0.87273,0.91954,0.80956,0.84537,0.722,0.71072,0.91648,9.75746e-06,9.75746e-06,9.75746e-06
99,3856.02,0.53211,0.43936,0.44661,1.10766,0.90235,0.85455,0.91544,0.73088,0.90235,0.85455,0.92053,0.82155,0.83963,0.71719,0.69577,0.9097,8.78142e-06,8.78142e-06,8.78142e-06
100,3895.54,0.55143,0.43704,0.47264,1.08222,0.88782,0.85455,0.91188,0.73192,0.88782,0.85455,0.91685,0.8078,0.84084,0.71852,0.70226,0.90812,8.1954e-06,8.1954e-06,8.1954e-06
