epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7704.49,1.01953,1.42918,1.03931,1.32162,0.6573,0.5074,0.57786,0.45081,0.6573,0.5074,0.57663,0.44659,1.17082,1.40444,1.10823,1.16494,0.000281629,0.000281629,0.000281629
62,7833.86,0.9852,1.39616,1.01398,1.32936,0.56154,0.50278,0.55509,0.43781,0.56154,0.50278,0.55501,0.4408,1.17065,1.43503,1.10113,1.14166,0.00026986,0.00026986,0.00026986
63,7957.03,0.9883,1.42855,1.00008,1.33429,0.53829,0.54722,0.5737,0.44022,0.54003,0.54907,0.57345,0.44473,1.1754,1.35557,1.06801,1.16165,0.000258223,0.000258223,0.000258223
64,8080.08,0.97569,1.34162,0.97149,1.31697,0.62412,0.5644,0.59235,0.45672,0.62195,0.56255,0.59142,0.4616,1.17896,1.34826,1.06603,1.18337,0.000246729,0.000246729,0.000246729
65,8204.42,0.97166,1.32668,0.96387,1.30997,0.63119,0.55559,0.5952,0.45606,0.62839,0.56104,0.59648,0.46358,1.18843,1.3472,1.04726,1.18334,0.000235391,0.000235391,0.000235391
66,8331.19,0.95578,1.32758,0.95055,1.32813,0.69764,0.53345,0.63074,0.47658,0.69523,0.5316,0.63058,0.49724,1.15797,1.29887,1.01052,1.12155,0.00022422,0.00022422,0.00022422
67,8455.66,0.9463,1.28514,0.94217,1.28927,0.64992,0.59287,0.63433,0.49533,0.6589,0.5944,0.63596,0.50032,1.14882,1.35709,1.03065,1.13046,0.000213226,0.000213226,0.000213226
68,8580.83,0.95963,1.30225,0.93341,1.28951,0.6395,0.57659,0.63937,0.49195,0.6395,0.57659,0.63683,0.52258,1.15208,1.31952,1.04821,1.12075,0.00020242,0.00020242,0.00020242
69,8704.53,0.95574,1.32829,0.9076,1.28237,0.66608,0.6046,0.6515,0.51061,0.66404,0.60275,0.65031,0.5195,1.1523,1.39433,1.01644,1.14111,0.000191813,0.000191813,0.000191813
70,8830.22,0.96674,1.3211,0.91115,1.27999,0.70229,0.53739,0.64754,0.4997,0.70504,0.53905,0.64667,0.52714,1.15366,1.34999,0.99416,1.12403,0.000181415,0.000181415,0.000181415
