epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2782.45,0.77453,0.82432,0.62939,1.19107,0.89469,0.86765,0.91138,0.68868,0.91675,0.88235,0.92506,0.77824,1.01455,0.7957,0.68525,0.86312,0.000416439,0.000416439,0.000416439
51,2837.39,0.79699,0.96123,0.64963,1.19277,0.92237,0.83824,0.91931,0.708,0.93142,0.83824,0.92853,0.7687,1.08025,0.81007,0.71172,0.98218,0.000404,0.000404,0.000404
52,2896.12,0.7673,0.96133,0.59778,1.14045,0.96392,0.83824,0.92343,0.70946,0.94761,0.79799,0.92447,0.7543,1.03677,0.88242,0.67579,1.00994,0.000391561,0.000391561,0.000391561
53,2951.67,0.81509,1.12118,0.67638,1.16938,0.87936,0.85763,0.93596,0.72262,0.87932,0.85728,0.93741,0.76457,0.99682,0.83949,0.71602,0.87248,0.000379135,0.000379135,0.000379135
54,3009.94,0.76175,0.8381,0.58091,1.15708,0.83101,0.92647,0.9367,0.73303,0.87668,0.88235,0.93705,0.76631,0.96616,0.82434,0.65197,0.81186,0.000366733,0.000366733,0.000366733
55,3068.01,0.72994,0.86753,0.60938,1.17747,0.87003,0.886,0.92943,0.73402,0.87003,0.886,0.92908,0.75378,0.92222,0.82092,0.64285,0.79352,0.000354368,0.000354368,0.000354368
56,3121.11,0.7716,0.9421,0.60618,1.16013,0.86385,0.83978,0.91506,0.71434,0.87893,0.8541,0.92214,0.7518,0.93902,0.77463,0.68424,0.82149,0.000342052,0.000342052,0.000342052
57,3174.1,0.723,0.90871,0.64277,1.12286,0.87839,0.84983,0.91722,0.7124,0.87779,0.84508,0.92732,0.77351,0.94908,0.80847,0.67058,0.87686,0.000329797,0.000329797,0.000329797
58,3227.12,0.72587,0.85148,0.6156,1.13765,0.91892,0.83824,0.93405,0.73111,0.91892,0.83824,0.94056,0.77625,0.91933,0.70146,0.62478,0.84139,0.000317615,0.000317615,0.000317615
59,3303.02,0.72015,0.90461,0.60979,1.14357,0.95284,0.82353,0.9315,0.72489,0.95284,0.82353,0.93021,0.77667,0.95434,0.72398,0.6578,0.83181,0.000305519,0.000305519,0.000305519
